,id,homeTacklesTotalHT,homeShotsTotalHT,awayDispossessedFT,awayPassSuccessFT,awayRatingsFT,awayDribbleSuccessFT,awayDribblesAttemptedHT,awayTeamLineUp,awayShotsBlockedHT,awayShotsTotalHT,homeDribbleSuccessHT,homeFoulsCommitedFT,homeAerialsTotalFT,homeRatingsHT,awayShotsOnTargetFT,awayShotsBlockedFT,homeInterceptionsHT,awayPossessionHT,homePassesKeyFT,awayShotsOnTargetHT,awayDribblesWonFT,awayTackleSuccessHT,homeCornersTotalFT,homeAerialsTotalHT,homeShotsBlockedFT,awayCornersTotalHT,homeCornersTotalHT,homeDribbleSuccessFT,homeTeamLineUp,awayPassSuccessHT,awayDribblesWonHT,homeDispossessedHT,awayAerialsTotalFT,homeShotsBlockedHT,awayPassesKeyFT,homeTackleSuccessHT,awayPassesKeyHT,homeFormation,awayInterceptionsHT,awayDispossessedHT,refereeName,homeDribblesWonHT,homePossessionFT,awayAerialsTotalHT,awayGoalHT,awayManagerName,awayInterceptionsFT,homeDribbledPastFT,homeGoalHT,awayDribbleSuccessHT,homeGoalFT,awayTacklesTotalHT,homeDribblesWonFT,awayTackleSuccessFT,awayTeam,homeDispossessedFT,awayOffsidesCaughtFT,awayDribbledPastFT,homeShotsOnTargetHT,awayFormation,awayOffsidesCaughtHT,homeDribbledPastHT,awayFoulsCommitedHT,homeShotsTotalFT,homePassSuccessFT,homeFoulsCommitedHT,awayCornersTotalFT,homeTeam,homeManagerName,awayFoulsCommitedFT,homeShotsOnTargetFT,homeDribblesAttemptedHT,awayRatingsHT,homeOffsidesCaughtHT,homeTacklesTotalFT,awayDribbledPastHT,awayGoalFT,homePassesKeyHT,homeOffsidesCaughtFT,homePossessionHT,venueName,awayDribblesAttemptedFT,homeInterceptionsFT,homePassSuccessHT,date,awayTacklesTotalFT,homeRatingsFT,homeDribblesAttemptedFT,homeTackleSuccessFT,awayPossessionFT,awayShotsTotalFT,division
1064,1064,3,6,7,67.07,6.5,37.5,0,"Lukasz Fabianski,Angel Rangel,Jordi Amat,Ashley Williams,Neil Taylor,Jonjo Shelvey,Ki Sung-yueng,Nathan Dyer,Gylfi Sigurdsson,Wayne Routledge,Wilfried Bony",0,2,60,14,30,6.15,4,1,10,41.81,11,2,4,72.73,4,12,4,0,2,63.89,"David de Gea,Phil Jones,Tyler Blackett,Chris Smalling,Jesse Lingard,Ander Herrera,Darren Fletcher,Ashley Young,Juan Mata,Chicharito,Wayne Rooney",72.27,0,6,30,2,5,100,2,3412,10,3,Mike Dean,3,60.06,12,1,Garry Monk,17,4,0,0,1,11,13,60.71,Swansea City,11,1,13,3,4231,0,0,8,14,82.44,6,0,Manchester United,Louis Van Gaal,20,5,5,6.3,0,17,3,2,5,1,58.19,Old Trafford,10,17,81.26,16-08-14,32,6.34,21,80,39.94,5,EPL
1065,1065,8,4,6,75.69,6.41,57.69,6,"Tim Howard,John Stones,Sylvain Distin,Phil Jagielka,Leighton Baines,James McCarthy,Gareth Barry,Aiden McGeady,Steven Naismith,Steven Pienaar,Romelu Lukaku",4,11,16.67,16,41,6.23,3,5,6,63.95,6,3,9,95,3,17,3,4,2,64.29,"Kasper Schmeichel,Ritchie de Laet,Wes Morgan,Liam Moore,Paul Konchesky,Riyad Mahrez,Daniel Drinkwater,Andy King,Anthony Knockaert,Leonardo Ulloa,David Nugent",84.67,3,7,41,0,6,66.67,4,442,3,2,Mike Jones,1,37.66,17,2,Roberto Martinez,5,9,1,50,2,11,6,80.95,Everton,16,0,6,2,4231,0,3,4,11,63.16,8,6,Leicester City,Nigel Pearson,10,3,4,6.18,0,22,1,2,2,0,36.05,King Power Stadium,16,18,70.28,16-08-14,25,6.34,9,61.76,62.34,13,EPL
1066,1066,7,9,10,63.12,6.53,42.86,2,"Allan McGregor,Curtis Davies,James Chester,Alex Bruce,Ahmed Elmohamady,Tom Huddlestone,Jake Livermore,Andrew Robertson,Tom Ince,Robert Snodgrass,Nikica Jelavic",2,3,41.67,10,45,6.29,4,4,9,50.23,14,0,4,72.22,8,25,6,4,3,42.31,"Robert Green,Richard Dunne,Rio Ferdinand,Steven Caulker,Danny Simpson,Armand Traore,Alejandro Faurlin,Joey Barton,Jordon Mutch,Loïc Remy,Charlie Austin",59.1,0,5,45,3,9,100,3,352,6,5,Craig Pawson,3,49.68,25,0,Steve Bruce,13,4,0,0,0,12,8,72.37,Hull,9,2,8,3,3421,1,0,4,19,69.43,4,9,QPR,Harry Redknapp,10,6,7,6.2,0,18,3,1,7,0,49.77,Loftus Road Stadium,8,13,68.05,16-08-14,25,6.45,16,81.25,50.32,11,EPL
1067,1067,15,4,17,57.11,6.35,31.82,7,"Brad Guzan,Alan Hutton,Ron Vlaar,Philippe Senderos,Aly Cissokho,Fabian Delph,Ashley Westwood,Charles N'Zogbia,Kieran Richardson,Andreas Weimann,Gabriel Agbonlahor",2,4,60,14,39,6.25,1,2,12,43.44,10,0,4,72.73,2,18,6,2,0,50,"Asmir Begovic,Phil Bardsley,Marc Wilson,Ryan Shawcross,Erik Pieters,Steven N'Zonzi,Glenn Whelan,Bojan,Stephen Ireland,Marko Arnautovic,Mame Biram Diouf",60.05,2,6,39,0,5,88.46,3,4231,8,8,Anthony Taylor,5,59.68,18,0,Paul Lambert,14,4,0,30,0,14,9,71.74,Aston Villa,11,1,9,2,4231,1,2,4,12,78.19,8,8,Stoke City,Mark Hughes,9,2,8,6.12,1,31,5,1,4,1,56.56,Britannia Stadium,14,17,77.9,16-08-14,28,6.45,17,88,40.32,7,EPL
1068,1068,9,7,10,63.26,6.56,43.18,5,"Vito Mannone,Wes Brown,Valentin Roberge,John O'Shea,Patrick van Aanholt,Lee Cattermole,Adam Johnson,Sebastian Larsson,Jack Rodwell,Connor Wickham,Steven Fletcher",1,3,83.33,18,31,5.97,2,3,5,40.76,8,1,8,82.14,6,16,0,0,4,56.25,"Ben Foster,Andre Wisdom,Jonas Olsson,Craig Dawson,Sébastien Pocognoli,Graham Dorrans,Youssouf Mulumbu,Craig Gardner,Chris Brunt,Saido Berahino,Victor Anichebe",59.84,3,12,31,0,4,68.75,1,4411,12,4,Neil Swarbrick,3,53.36,16,1,Gus Poyet,22,8,1,62.5,2,16,5,86.67,Sunderland,25,3,5,3,4141,0,3,3,10,66.28,9,3,West Bromwich Albion,Alan Irvine,9,5,4,6.43,0,26,3,2,5,0,59.24,The Hawthorns,16,11,71.21,16-08-14,34,6.23,9,77.38,46.64,7,EPL
1069,1069,13,11,12,68.15,6.33,61.54,7,"Hugo Lloris,Kyle Naughton,Younes Kaboul,Eric Dier,Danny Rose,Nabil Bentaleb,Etienne Capoue,Christian Eriksen,Erik Lamela,Aaron Lennon,Emmanuel Adebayor",0,2,25,12,27,6.24,4,4,10,45.99,13,1,9,90.91,8,12,4,1,5,34.62,"Adrián,Joey O'Brien,Winston Reid,James Collins,Aaron Cresswell,Cheikhou Kouyaté,Mark Noble,Stewart Downing,Kevin Nolan,Ricardo Vaz Te,Carlton Cole",65.63,4,8,27,3,8,78.33,1,4231,6,6,Chris Foy,1,48.94,12,0,Mauricio Pochettino,11,9,0,50,0,12,5,77.5,Tottenham Hotspur,10,0,5,1,4231,0,4,6,18,71.14,5,5,West Ham United,Sam Allardyce,10,4,4,6.18,0,26,1,1,9,1,54.01,Boleyn Ground,14,19,71.94,16-08-14,24,6.43,14,67.42,51.06,10,EPL
1070,1070,18,8,9,44.89,6.54,30,13,"Julian Speroni,Martin Kelly,Brede Hangeland,Scott Dann,Joel Ward,Jason Puncheon,Mile Jedinak,Joe Ledley,Yannick Bolasie,Marouane Chamakh,Fraizer Campbell",1,2,15.38,13,40,6.18,2,2,7,26.88,11,1,7,91.67,9,19,3,1,3,34.67,"Wojciech Szczesny,Mathieu Debuchy,Laurent Koscielny,Calum Chambers,Kieran Gibbs,Mikel Arteta,Alexis Sánchez,Jack Wilshere,Aaron Ramsey,Santiago Cazorla,Yaya Sanogo",55.22,3,7,40,3,3,84.62,1,4141,12,5,Jonathan Moss,2,73.72,19,1,Keith Millen,19,7,1,25,2,21,12,75.25,Crystal Palace,11,1,12,2,4411,1,3,8,14,82.49,7,3,Arsenal,Arsène Wenger,19,6,14,6.31,0,33,2,1,6,0,73.12,Emirates Stadium,24,16,82.92,16-08-14,45,6.45,34,80,26.28,4,EPL
1071,1071,11,7,12,67.18,6.39,72.73,6,"Fraser Forster,Nathaniel Clyne,Maya Yoshida,Jose Fonte,Ryan Bertrand,Morgan Schneiderlin,Victor Wanyama,Steven Davis,James Ward-Prowse,Graziano Pellè,Dusan Tadic",0,3,45,8,37,6.37,6,2,5,44.73,10,2,10,77.78,2,12,2,3,2,50.88,"Simon Mignolet,Javier Manquillo,Dejan Lovren,Martin Skrtel,Glen Johnson,Lucas Leiva,Steven Gerrard,Jordan Henderson,Philippe Coutinho,Raheem Sterling,Daniel Sturridge",67.1,4,11,37,1,9,56.25,2,4231,8,5,Mark Clattenburg,6,53.53,12,0,Ronald Koeman,19,10,1,70,2,24,15,75.25,Southampton,23,2,15,3,433,2,4,6,12,76.94,5,6,Liverpool,Brendan Rodgers,11,5,13,6.13,0,26,6,1,5,2,55.27,Anfield,14,17,86.45,17-08-14,50,6.66,27,62.5,46.47,12,EPL
1072,1072,13,4,16,77.56,6.57,46.15,5,"Joe Hart,Gaël Clichy,Martín Demichelis,Vincent Kompany,Aleksandar Kolarov,Samir Nasri,Fernando,Yaya Touré,David Silva,Edin Dzeko,Stevan Jovetic",2,5,50,8,30,6.24,5,3,9,52.14,9,3,6,65.62,3,11,3,2,0,59.09,"Tim Krul,Daryl Janmaat,Fabricio Coloccini,Mike Williamson,Paul Dummett,Vurnon Anita,Rémy Cabella,Moussa Sissoko,Jack Colback,Yoan Gouffran,Emmanuel Rivière",82.01,1,8,30,0,11,91.67,5,4141,4,8,Martin Atkinson,6,50.38,11,1,Manuel Pellegrini,15,6,0,20,0,20,14,67.71,Manchester City,19,0,14,0,442,0,1,3,12,77.39,5,3,Newcastle United,Alan Pardew,11,0,12,6.27,0,29,6,2,4,0,47.86,St. James' Park,13,14,80.66,17-08-14,43,6.34,24,76.92,49.62,13,EPL
1053,1053,16,5,4,67.38,6.76,60.71,13,"Thibaut Courtois,Branislav Ivanovic,John Terry,Gary Cahill,César Azpilicueta,Nemanja Matic,Cesc Fàbregas,André Schürrle,Oscar,Eden Hazard,Diego Costa",3,8,50,6,47,6.13,3,4,5,57.37,7,3,12,83.33,4,21,1,3,2,25,"Tom Heaton,Kieran Trippier,Jason Shackell,Michael Duff,Ben Mee,Scott Arfield,Dean Marney,David Jones,Matthew Taylor,Danny Ings,Lukas Jutkiewicz",71.39,7,4,47,1,9,60,7,4411,5,3,Michael Oliver,1,43.77,21,3,José Mourinho,17,12,1,50,1,6,3,85.71,Chelsea,10,1,3,1,4231,0,7,4,9,58.62,3,3,Burnley,Sean Dyche,7,2,2,6.39,2,24,1,3,4,3,42.63,Turf Moor,20,11,57.78,18-08-14,22,6.18,12,50,56.23,11,EPL
