id,homeTacklesTotalHT,homeShotsTotalHT,awayDispossessedFT,awayPassSuccessFT,awayRatingsFT,awayDribbleSuccessFT,awayDribblesAttemptedHT,awayTeamLineUp,awayShotsBlockedHT,awayShotsTotalHT,homeDribbleSuccessHT,homeFoulsCommitedFT,homeAerialsTotalFT,homeRatingsHT,awayShotsOnTargetFT,awayShotsBlockedFT,homeInterceptionsHT,awayPossessionHT,homePassesKeyFT,awayShotsOnTargetHT,awayDribblesWonFT,awayTackleSuccessHT,homeCornersTotalFT,homeAerialsTotalHT,homeShotsBlockedFT,awayCornersTotalHT,homeCornersTotalHT,homeDribbleSuccessFT,homeTeamLineUp,awayPassSuccessHT,awayDribblesWonHT,homeDispossessedHT,awayAerialsTotalFT,homeShotsBlockedHT,awayPassesKeyFT,homeTackleSuccessHT,awayPassesKeyHT,homeFormation,awayInterceptionsHT,awayDispossessedHT,refereeName,homeDribblesWonHT,homePossessionFT,awayAerialsTotalHT,awayGoalHT,awayManagerName,awayInterceptionsFT,homeDribbledPastFT,homeGoalHT,awayDribbleSuccessHT,homeGoalFT,awayTacklesTotalHT,homeDribblesWonFT,awayTackleSuccessFT,awayTeam,homeDispossessedFT,awayOffsidesCaughtFT,awayDribbledPastFT,homeShotsOnTargetHT,awayFormation,awayOffsidesCaughtHT,homeDribbledPastHT,awayFoulsCommitedHT,homeShotsTotalFT,homePassSuccessFT,homeFoulsCommitedHT,awayCornersTotalFT,homeTeam,homeManagerName,awayFoulsCommitedFT,homeShotsOnTargetFT,homeDribblesAttemptedHT,awayRatingsHT,homeOffsidesCaughtHT,homeTacklesTotalFT,awayDribbledPastHT,awayGoalFT,homePassesKeyHT,homeOffsidesCaughtFT,homePossessionHT,venueName,awayDribblesAttemptedFT,homeInterceptionsFT,homePassSuccessHT,date,awayTacklesTotalFT,homeRatingsFT,homeDribblesAttemptedFT,homeTackleSuccessFT,awayPossessionFT,awayShotsTotalFT,division
1,14,3,8,75.38,6.12,22,10,"Vicente Guaita,Damián Suárez,Santiago Vergini,Alexis,Vigaray,Mehdi Lacen,Juan Rodríguez,Pedro León,Pablo Sarabia,Víctor Rodríguez,Álvaro Vázquez",0,6,83.33,19,29,6.37,3,3,7,61.7,4,2,6,64.29,4,14,1,2,3,55.56,"Pau López,Anaitz Arbilla,Álvaro González,Raíllo,Rubén Duarte,Javi López,Víctor Sánchez,Paco Montañés,Salva Sevilla,Víctor Álvarez,Felipe Caicedo",72.06,2,5,29,0,7,85.71,3,4231,4,4,Jesús Gil Manzano,3,34.12,14,0,Fran Escribá,13,6,1,20,1,9,6,72.22,Getafe,11,2,6,2,4231,2,2,7,5,52.09,12,6,Espanyol,Sergio González,14,2,4,5.98,4,35,3,0,2,5,38.3,Power8 Stadium,27,14,56.16,22-08-15,23,6.57,12,82.81,65.88,13,La_Liga
2,11,7,2,58.67,6.44,26.32,9,"Gerónimo Rulli,Zaldúa,Diego Reyes,Iñigo Martínez,Alberto De la Bella,Xabi Prieto,Rubén Pardo,Markel Bergara,Bruma,Jonathas,Carlos Vela",4,6,0,16,33,6.14,2,6,8,36.44,11,1,6,100,5,13,5,2,2,21.43,"Germán Lux,Laure,Sidnei,Alberto Lopo,Fernando Navarro,Celso Borges,Pedro Mosquera,Juanfran,Faycal Fajr,Cani,Lucas Pérez",66.89,1,8,33,1,6,90,4,4231,3,2,Antonio Miguel Mateu Lahoz,0,57.33,13,0,David Moyes,9,6,0,11.11,0,12,2,91.18,Real Sociedad,12,2,2,2,442,1,1,5,16,68.57,5,4,Deportivo,Víctor Sánchez del Amo,10,5,4,6.18,1,24,0,0,6,2,63.56,Riazor,22,16,72.87,22-08-15,21,6.34,9,75,42.67,9,La_Liga
3,7,7,0,56.12,6.29,32.5,7,"Raúl Lizoain,David Simón,Antolin Alcaraz,Aythami,Pedro Bigas,Dani Castellano,Roque,Hernán,Javi Castellano,Jonathan Viera,Sergio Araujo",0,1,64.29,11,38,6.34,1,3,13,38.84,9,0,7,69.7,4,20,3,0,2,53.33,"Jan Oblak,Juanfran,Giménez,Diego Godín,Filipe Luis,Óliver Torres,Tiago,Gabi,Koke,Jackson Martínez,Antoine Griezmann",55.77,3,7,38,1,5,57.14,0,442,9,0,Eduardo Prieto Iglesias,6,58.29,20,0,Paco Herrera,16,7,1,42.86,1,16,12,72.67,Las Palmas,15,0,12,2,541,0,3,6,14,74.28,5,4,Atletico,Diego Simeone,16,3,9,6.1,0,22,6,0,5,0,61.16,Vicente Calderón,22,19,77.03,22-08-15,36,6.51,21,67.5,41.71,8,La_Liga
4,19,5,11,59.31,6.45,42.11,14,"Mat Ryan,João Cancelo,Shkodran Mustafi,Rúben Vezo,Lucas Orban,Rodrigo de Paul,Javi Fuego,Danilo,Santi Mina,Álvaro Negredo,Pablo Piatti",0,5,12.5,19,41,6.24,4,2,6,48.82,7,3,10,96.67,3,19,3,2,0,35.19,"Toño,Tito,Zé Castro,Diego Llorente,Nacho,Patrick Ebert,Roberto Trashorras,Raúl Baena,Bebé,Manucho,Miku",58.53,7,8,41,1,7,63.33,4,442,10,5,Alberto Undiano Mallenco,1,52.94,19,0,Nuno Espírito Santo,17,10,0,50,0,13,5,83.33,Valencia,11,1,5,3,433,1,7,3,8,63.69,10,3,Rayo Vallecano,Paco Jémez,11,3,5,6.29,0,34,1,0,5,0,51.18,Campo de Fútbol de Vallecas,23,17,69.81,22-08-15,24,6.43,13,71.43,47.06,10,La_Liga
5,13,5,10,70.35,6.49,69.44,9,"Claudio Bravo,Dani Alves,Javier Mascherano,Thomas Vermaelen,Jordi Alba,Ivan Rakitic,Sergio Busquets,Andrés Iniesta,Lionel Messi,Luis Suárez,Rafinha",3,7,60,16,33,6.18,4,3,6,71.68,7,2,16,57.14,2,10,3,2,2,40,"Gorka Iraizoz,De Marcos,Aymeric Laporte,Elustondo,Balenziaga,Mikel Rico,Beñat,Markel Susaeta,Eraso,Sabin,Aduriz",81.46,7,3,33,3,7,48.48,4,4231,9,4,Carlos del Cerro Grande,3,37.36,10,0,Luis Enrique,17,16,0,75,0,9,4,77.78,Barcelona,12,4,4,1,433,0,7,7,8,53.23,9,4,Athletic Club,Ernesto Valverde,11,2,6,6.19,2,32,3,1,4,4,28.32,San Mamés,22,16,52.2,23-08-15,23,6.26,11,54.94,62.64,10,La_Liga
6,21,3,19,82.43,6.6,58,11,"Keylor Navas,Danilo,Raphael Varane,Sergio Ramos,Marcelo,Luka Modric,Toni Kroos,Isco,Gareth Bale,Cristiano Ronaldo,Jesé",2,10,0,20,26,6.18,8,5,8,56.8,2,2,19,100,2,15,2,1,0,12.5,"Iván Cuéllar,Alberto Lora,Bernardo,Luis Hernández,Isma López,Carlos Carmona,Sergio Álvarez,Nacho Cases,Jony,Antonio Sanabria,Guerrero",80.55,6,5,26,0,19,75,6,442,14,10,Javier Estrada Fernández,0,35.97,15,0,Rafael Benítez,25,19,0,55.56,0,7,4,93.75,Real Madrid,11,1,4,0,4231,0,6,2,6,55.18,9,5,Sporting Gijon,Abelardo Fernández,4,0,2,6.31,1,51,0,0,1,2,43.2,El Molinón,32,16,61.75,23-08-15,25,6.36,14,65.77,64.03,27,La_Liga
7,12,5,6,82.15,6.57,50,7,"Rubén Blanco,Hugo Mallo,Cabral,Fontàs,Jonny,Augusto Fernández,Pablo Hernández,Daniel Wass,Orellana,Iago Aspas,Nolito",1,7,40.91,12,31,6.14,6,3,10,67.68,5,2,7,71.88,4,15,2,2,2,40.62,"Rubén Martínez,Iván López,Simao Mate,Juanfran,Ángel Trujillo,Toño,Víctor Camarasa,José Mari,Verza,Nabil Ghilas,Deyverson",85.75,3,5,31,1,10,75,7,532,5,5,Ricardo de Burgos Bengoetxea,6,39.67,15,1,Eduardo Berizzo,13,7,0,42.86,1,18,9,75,Celta Vigo,10,0,9,1,433,0,3,7,11,57.94,7,6,Levante,Lucas Alcaraz,17,2,13,6.26,0,20,6,2,2,0,32.32,Ciutat de Valencia,14,20,51.36,23-08-15,31,6.31,21,65,60.33,15,La_Liga
8,17,6,13,55.89,6.51,47.22,7,"Alphonse Areola,Mario,Víctor Ruiz,Eric Bailly,Jaume Costa,Nahuel,Bruno,Tomás Pina,Samu Castillejo,Leo Baptistao,Roberto Soldado",0,3,71.43,11,36,6.23,4,0,10,40.34,11,2,7,59.09,7,17,3,3,2,62.5,"Antonio Adán,Cristiano Piccini,Germán Pezzella,Bruno,Juan Vargas,Álvaro Cejudo,Alfred N'Diaye,Xavi Torres,Francisco Portillo,Jorge Molina,Rubén Castro",55.11,2,6,36,1,7,89.74,3,442,8,10,Iñaki Vicandi Garrido,5,63.64,17,1,Marcelino García Toral,14,7,0,28.57,1,13,13,58.62,Villarreal,11,2,13,0,442,1,2,10,22,69.05,3,5,Real Betis,Pepe Mel,26,6,7,6.24,1,27,5,1,1,1,59.67,Benito Villamarín,14,20,65.64,23-08-15,32,6.37,21,76.19,36.36,8,La_Liga
9,11,5,8,60.18,6.69,43.75,9,"Xabi Irureta,Ander Capa,Mauro Dos Santos,Iván Ramis,Antonio Luna,Dani García,Adrián,Keko,Gonzalo Escalante,Saúl Berjón,Sergi Enrich",2,7,27.78,5,36,6.06,4,2,9,35.27,7,3,8,83.33,6,15,1,2,2,41.18,"Andrés Fernández,Dimitri Foulquier,Jean-Sylvain Babin,Diego Mainz,Salva Ruiz,Rubén Pérez,Javi Márquez,Robert Ibáñez,Rubén Rochina,Piti,Youssef El-Arabi",55.11,4,6,36,0,7,60,4,4231,10,2,Ignacio Iglesias Villanueva,4,58.76,15,2,José Luis Mendilibar,16,8,0,44.44,1,18,9,75.64,Eibar,11,3,9,2,4231,0,4,12,12,67.55,3,5,Granada,José Ramón Sandoval,23,6,12,6.43,1,25,4,3,2,1,64.73,Los Cármenes,17,22,71.5,24-08-15,32,6.18,21,69.57,41.24,10,La_Liga
10,21,6,22,58.93,6.41,11.11,7,"Pau López,Anaitz Arbilla,Álvaro González,Raíllo,Rubén Duarte,Paco Montañés,Víctor Sánchez,Javi López,Víctor Álvarez,Felipe Caicedo,Gerard Moreno",0,2,25,10,36,6.09,3,0,4,40.26,11,1,1,87.5,2,15,2,1,0,33.93,"Alphonse Areola,Mario,Víctor Ruiz,Eric Bailly,Jaume Costa,Nahuel,Manu Trigueros,Tomás Pina,Samu Castillejo,Leo Baptistao,Roberto Soldado",59.47,1,6,36,1,5,96.67,2,442,7,14,Carlos Velasco Carballo,4,57.28,15,1,Sergio González,14,1,0,16.67,3,15,9,77.38,Espanyol,8,1,9,1,442,0,1,8,14,71.74,4,3,Villarreal,Marcelino García Toral,20,4,9,6.31,0,32,4,1,6,5,59.74,El Madrigal,10,10,75.29,28-08-15,28,6.36,20,97.92,42.72,5,La_Liga
